style,category,values
*,title_end_boss,The Tyrant Below|The Throne Under {place}|What Rules Below|Down to {place}|The Crown in the Dark|The Master of the Underway|The Thing on the Inner Seat|The Last Chamberlord|Beneath the Tyrant's Hall|The Rule of Stone and Dark|Bring Down the Throne|The One Below All Others
*,title_kill_boss,The Tyrant Below|The Last Chamber|The Throne Under {place}|What Rules Below|The Kill Below|The Chamber of the Last Enemy|Down to the Throne|The End of the Master Below|Blood for the Underking|The Boss in the Dark|Cut Out the Heart Below|Strike the Inner Throne
*,title_race_key,Before the Doors Close|The Sealed Way|The Inner Gate|The Locked Road|Race for the Key Below|Before the Other Hands Arrive|The Road That Opens Once|The First Through the Gate|Who Opens It First|The Door Before Dawn|The Lock and the Rival|The Key Below Stone
*,title_secure_key,The Sealed Way|What Lies Past the Door|The Inner Gate|The Locked Road|The Thing That Opens It|Find the Road Key|The Door in the Depths|Keys for the Underway|The Opened Way|What the Lock Was For|The Key in the Deep Rooms|Open the Shut Road
*,title_treasure,Fortune Under Stone|Take What They Buried|The Hidden Prize|Gold Under {place}|Plunder for the Lanterns|The Weight of Silver Below|The Richest Room|What the Dead Left Behind|The Haul Beneath|Carry Out the Fortune|The Best Prize in the Dark|Silver for the Taking
reliquary,site_first,Funeral|Processional|Hush|Sepulchral|Abbot's|Saintless|Last|Dustbound|Coffin|Mercy
reliquary,site_second,House|Court|Gallery|Hall|Nave|Stairs|Walk|Repository|Basilica|Mausoleum
reliquary,subtheme,a shuttered bell house over a saint's disputed grave|a mortuary chapel turned into a hiding place for rival relic brokers|a buried nave beneath a plague quarter|a reliquary cellar linked to forgotten processional stairs|a candle vault where shrine silver vanished a century ago|a confession crypt repurposed by thieves and penitents alike|a funeral storehouse built over older catacombs|a saint-market undercroft sealed after a bad miracle|a bone-choked processional road beneath a ruined abbey|a choir chapel where no two sects agree on the dead
reliquary,public_place,the saint-house|the funeral crypts|the lower nave|the candle vault|the bell undercroft|the chapel roads
reliquary,public_motif,grave smoke|wax|chant|holy bronze|bone dust|mourners|icons|coffin wood
reliquary,faction_prefix,Verger|Hallow|Mercy|Wax|Bier|Coffin|Psalm|Crypt|Boneward|Mourning
reliquary,faction_want,the dead accounted for on their own terms|the shrine stores beneath the lower nave|the hidden bell ropes and what they command|the old funeral silver|the last uncontested saint niche|the processional stair and anyone who uses it|the records of who was buried where|the underchapel doors sealed again
reliquary,solo_adj,Funeral|Mercy|Lantern-Lit|Rosary|Coffin|Pale-Wax|Ash-Marked|Choirless
reliquary,solo_noun,Abbot|Widower|Guard|Saint|Bride|Dog|Collector|Usher
reliquary,treasure_adj,gospel-bound|saint-stamped|blackened silver|lacquered bone|funeral gold|vestry|choir-looted|martyr's
reliquary,treasure_noun,lamp|coffer|ledger|icon|locket|thurible|tabernacle key|votive plate
reliquary,rescue_target,choir master trapped below the lower nave|vestry runner missing beyond the coffin stairs|mourner's son hidden in the saint-house|relic porter sealed behind the bell crypt|widow taken into the underchapel by false clergy|altar child last seen carrying the wrong key|grave clerk who knows whose bones were moved|ringer trapped with the bells above the dark
reliquary,patron_role,funeral factor|vestry clerk|bell sexton|chapel scrivener|mourning broker|widower of the shrine road|reliquary porter|underdeacon
reliquary,reward,vestry coin and a writ of pardon|private sale of whatever cannot be blessed|a warm room behind chapel walls|a ledger cleared in your favor|enough silver to leave the parish for good|a saint-token worth more than it should be|quiet burial for a dangerous body|first claim on anything not nailed into stone
caverns,site_first,Underwater|Echo|Gloam|Reef|Shale|Brackish|Eel|Tideworn|Crawl|Mist
caverns,site_second,Road|Channels|Shelf|Breach|Runnels|Cleft|Delve|Basin|Cut|Crawl
caverns,subtheme,a fisher shrine broken open by the rising dark water|a rope shelf where smugglers stored sealed crates|a flooded cut below an abandoned toll house|a pearl ledge with three ways in and one dry way out|a cave market drowned during a bad season|a black pool network mapped only in contraband chalk|a customs crawl where unpaid cargo still waits|a sink tunnel full of drowned moorings|a limestone drift where smugglers hid debt ledgers|an eel cave joined to older flooded tombs
caverns,public_place,the eel runs|the pearl caves|the flooded shelves|the wet roads below|the under-river cuts|the black channels
caverns,public_motif,driftwood|wet rope|shell|undertow|dark pools|mushroom light|eel-slick stone|floodmarks
caverns,faction_prefix,Smuggler|Netter|Grotto|Shelf|Current|Brine|Mooring|Floodmark|Reef|Undertow
caverns,faction_want,the sealed cargo in the deepest shelf|the last dry crossing through the cave|control of the rope ladders|every pearl taken from the black water|the warm cave and its breeding pools|the old customs cache|the one map that still marks the under-river road|anyone fool enough to carry fresh lamps
caverns,solo_adj,Reef|Drip|Pearl|Brine|Mud-Slick|Flood-Touched|Blackwater|Sink
caverns,solo_noun,Hunter|Toad|Serpent|Crawler|Snapper|Devil|Mawhound|Lurker
caverns,treasure_adj,contraband|pearl-set|watermarked|barnacled|salt-locked|netted|blackwater|customs-sealed
caverns,treasure_noun,chest|ledger tube|statuette|trade seal|oil jar|lockbox|crate|pearl spool
caverns,rescue_target,rope climber stranded above the flood line|smuggler's daughter hidden in a dry crack|barge runner trapped past the sluice|pearl diver tangled in the old lines|customs clerk who knows what changed hands below|cave guide taken by a rival crew|lookout marooned on the high shelf|boy sent down after a dropped lamp and never returned
caverns,patron_role,wharf widow|customs runner|net factor|flood guide|rope clerk|river broker|night ferryman|contraband broker
caverns,reward,first cut of whatever comes up dry|coin enough to buy a boat share|forgiven river debt and silver besides|quiet cargo moved under your name|safe passage through the next customs watch|a sealed favor owed by the docks|a berth and dry blankets for a month|pearl money with no questions attached
dwarven,site_first,Black|Kings|Brass|Anvil|Gutter|Foundry|Runed|Counterweight|Deepcut|Ledger
dwarven,site_second,Store|Road|Quarter|Yard|Spine|Vaults|Gates|Machinery|Hearth|Tunnels
dwarven,subtheme,a sealed wage road beneath a dead mint quarter|a forge annex broken open during a payroll riot|a maintenance spine built behind the public halls|an ore tally house wired to old locks and lifts|a chain cellar under an abandoned machine court|a charter archive beneath a cracked furnace row|a stoneworks undercroft where the foremen kept their books|a dead engine quarter with one warm room left|a survey annex joined to a forgotten escape route|a lift road buried during a collapse and never fully reopened
dwarven,public_place,the brass roads|the tally halls|the lock quarter|the furnace roads|the deep works|the old wage halls
dwarven,public_motif,bronze|counterweights|sparks|old ledgers|forge soot|cut stone|wage iron|machine teeth
dwarven,faction_prefix,Anvil|Mint|Foreman|Stonecut|Sluice|Wage|Brass|Lock|Rivet|Survey
dwarven,faction_want,the wage boxes buried under the works|the one working lift that still reaches the deep|the charter shelves no one else can read|the mint quarter keys|the salvage from the machine spine|the furnace locks and the rooms they guard|the last masterwork tools not yet claimed|proof of whose hall this used to be
dwarven,solo_adj,Iron-Shod|Counterweight|Mint|Stone|Brass-Eyed|Sluice|Gearbound|Underforge
dwarven,solo_noun,Keeper|Gaoler|Ram|Hound|Collector|Judge|Ogre|Walker
dwarven,treasure_adj,wage-marked|brassbound|forge-tempered|charter-sealed|mint-struck|ore-dusted|black-steel|survey-stamped
dwarven,treasure_noun,key-block|pay chest|tally board|forgemaster's chain|mint plate|charter tube|wrench kit|ore bond
dwarven,rescue_target,foreman's daughter trapped in the tally rooms|wage clerk hiding beyond the lock quarter|ore runner sealed below the old lift|apprentice chain-smith lost in the machine spine|surveyor who found the wrong chamber|charter heir taken by rival salvagers|maintenance boy stuck behind a dead gear gate|injured delver holding the only safe map of the works
dwarven,patron_role,ledger widow|haul captain|forge clerk|bond holder|ore broker|sluice keeper|wage factor|lamp scribe
dwarven,reward,a stamped share of whatever is hauled up|full title to one recovered chest|forgiven guild debt and coin|a written claim no rival can laugh off|a bunk, a contract, and hard silver|the patron's next charter under your name|choice of one recovered tool lot|coin enough to leave salvage work behind
demonic,site_first,Heretic|Tallow|Ash-Wax|Mournful|Penance|Black Candle|Ninefold|Grief|Bleeding|False-Saint
demonic,site_second,Chapel|House|Sanctum|Vaults|Steps|Choir|Court|Stair|Maze|Cells
demonic,subtheme,a hidden mourning chapel where the dead were offered to the wrong god|a candle crypt given over to blood vows and private bargains|a heretic cell beneath a funeral house|an underchurch where grief was turned into doctrine|a bone pit sealed under a ruined shrine|a tallow vault used to feed deeper rites|a confessional maze where no confession was ever enough|a red chapel hidden below a paupers' cemetery|a sacrament cellar linked to an older ossuary|a funeral court where the mourners became the priesthood
demonic,public_place,the black shrine|the lower choir|the tallow vaults|the red house below|the bone courts|the heretic stairs
demonic,public_motif,funeral wax|red prayer|grave knives|bone idols|black candles|blood smoke|mourning cloth|chain altars
demonic,faction_prefix,Heretic|Penance|Mourning|Red Choir|Bone-Lantern|Tithe|Vow|Funeral|Ash-Candle|Liturgy
demonic,faction_want,the next rite finished on their terms|the confessional ledgers hidden below|the knife room and the doors it opens|the black tithe buried under the altars|fresh converts and a cleaner escape route|the upper shrine silenced forever|the one sealed cell no one has opened|someone else to bleed before they do
demonic,solo_adj,Litany|Grief|Votive|Bone-Masked|Chapel|Tallow-Fed|Ash-Wax|Ninefold
demonic,solo_noun,Reader|Collector|Bridegroom|Mother|Dog|Penitent|Thurifer|Predator
demonic,treasure_adj,black-lacquered|sigil-cut|gravebound|votive gold|mourning-scribed|blood-marked|tallow-stamped|heretic
demonic,treasure_noun,censer|breviary|locket|strongbox|seal|lamp|sacrament case|altar key
demonic,rescue_target,novice hidden in the candle cells|pallbearer chained in the lower choir|mourning widow marked for the rite|grave clerk taken to read the wrong names|confessor dragged under the red house|altar thief who saw too much and lived|boy acolyte hiding among the biers|the one mourner the cult still needs alive
demonic,patron_role,grave clerk|candle merchant|mourning widow|pallbearer|undertemple scribe|black-market confessor|wake keeper|burial creditor
demonic,reward,coin from a hand that should not have it|erased records and hard silver|a body quietly returned above ground|a private absolution worth money to the right people|a sealed package best not opened in daylight|the patron's silence and a share besides|enough coin to feel dirty about taking it|freedom from a debt tied to the dead
rooted,site_first,Loam|Hedge|Rot|Vine|Burrow|Spore|Rootmark|Greenhouse|Hollowroot|Mildew
rooted,site_second,Court|Vaults|Road|Tunnels|House|Cellar|Hollows|Warren|Ways|Porch
rooted,subtheme,a drowned store cellar turned into a crawling root maze|a thorn house beneath a collapsed chapel yard|a poorhouse cellar opened into burrows and fungus rooms|an orchard crypt fed by roots from above|a green vault where old tax silver fed a cult|a burrow road under a ruined shrine garden|a briar cellar linked to a forgotten smugglers' crawl|a spore cave grown through older brick rooms|a root-thick undercroft where vermin and worship mixed|a living maze below an abandoned grave garden
rooted,public_place,the vine roads|the root cellars|the green underways|the moss vaults|the burrow roads|the thorn halls
rooted,public_motif,mildew|earth|wet roots|burrow spoil|sour leaves|fungus dust|green rot|thorn shadow
rooted,faction_prefix,Hedge|Loam|Cellar|Rat|Garden|Underroot|Nettle|Tangle|Old Porch|Spoil
rooted,faction_want,the driest burrows under the old shrine|the root-choked silver from the vault|the feeding pits and what falls into them|the one clean well in the underways|the old herb stores untouched by mold|the nursery rooms beneath the chapel yard|the burrow roads away from the cult|a season of peace and no fresh blades in their halls
rooted,solo_adj,Nettle|Garden|Mildew|Burrow|Chapel|Rot-Bellied|Root-Crowned|Spinevine
rooted,solo_noun,Matron|Buck|Guardian|Devil|Boar|Widow|Keeper|Crawler
rooted,treasure_adj,herb-packed|thorn-bound|spore-laden|mud-caked|green-lacquered|cellar-hidden|root-wrapped|leaf-stamped
rooted,treasure_noun,cache chest|medicine box|pruning hook|idol fragment|tax tube|seed vault|amber bottle|root key
rooted,rescue_target,child hiding in the old root cellar|hedge-cutter trapped beyond the flooded burrow|grave gardener cocooned in the green|pilgrim taken through the thorn gate|smuggler lost in the undergrowth below|herb wife trapped in the spore rooms|ditch boy hiding from both sides in the burrows|young hunter dragged toward the feeding pits
rooted,patron_role,grave gardener|hedge reeve|herb widow|ditch keeper|rat broker|apothecary's clerk|field sexton|cellar factor
rooted,reward,a satchel of medicine and hard coin|rights to the next herb haul|shelter and a clean bed for a month|first choice of whatever the roots have not spoiled|a sealed packet of cures worth real money|forgiven debts on next season's seed|coin enough to buy out of ditch work|a dry room and a warmer future
frost,site_first,North|Wintermarked|Pale King|Cairn|Frostbound|Thawless|Gravewind|Snowbound|Iceglass|Crown
frost,site_second,Way|Halls|Vaults|Mound|Road|Cellars|Crypts|Doors|Keep|Shrines
frost,subtheme,a burial road sealed behind ice after the nobles fled|a dead watch hold converted into a winter tomb|a cold vault where old tribute was stored with the dead|a shrine road where the mourners were snowed in with the bodies|a prince's cellar crypt beneath an abandoned manor|a barrow annex broken open during the famine years|a snow cellar joined to an older royal crypt|a chapel of the thaw built over colder graves|a grave road under a wind-buried hall|a winter crypt where the dead kept better than the living
frost,public_place,the cold roads below|the barrow halls|the frost vaults|the white roads|the tomb roads|the ice crypts
frost,public_motif,ice smoke|burial cedar|winter bronze|grave frost|snow silence|white iron|old furs|rimed stone
frost,faction_prefix,Winter|Pale|Cairn|Barrow|Snow|Frostmark|Icebound|Thaw|Gravesnow|Coldwatch
frost,faction_want,the warmest chambers left in the dead halls|the heirlooms sealed under the frost|the barrow road that still opens in winter|the stores of dry wood and old furs|the chapel vault and its thaw wards|the best noble tomb not yet broken open|the right to bury their own among the old dead|one clean road back to daylight
frost,solo_adj,Wintermarked|Cairn|Grave-Snow|Thawless|Iceglass|Barrow|White-Faced|Coldwatch
frost,solo_noun,Sentinel|Bridegroom|Judge|Huntmaster|Keeper|Wolf-Lord|Marshal|Devourer
frost,treasure_adj,barrow-gold|winter-bound|fur-sealed|grave-cut|cold-forged|iced silver|thaw-marked|vault-kept
frost,treasure_noun,crown|belt|heirloom chest|chapel key|tribute box|urn set|ward tablet|grave knife
frost,rescue_target,caravan scout missing in the frost roads|grave claimant lost under the white halls|widow sealed in a thaw chapel|child porter hidden behind the barrow doors|fur trapper trapped under a snow-fallen stair|messenger frozen short of the burial road|priest of the thaw taken by tomb robbers|last survivor of a failed winter delve
frost,patron_role,winter factor|barrow clerk|grave reeve|thaw widow|funeral guide|cold steward|snow toll-keeper|caravan widow
frost,reward,passage through the winter roads and a heavy purse|the first recovered heirloom no questions asked|a season's board and silver|a patron's writ for warm shelter all winter|grave rights restored to your family|hard coin and an escort back through the snow|enough silver to buy three months of heat|first cut of whatever noble dead still own
reliquary,atmosphere,wet limestone and candle ash|old incense cut with copper|lamp grease and mouldy paper|dry furnace heat and bitter dust|bells trembling somewhere out of sight|grave rosemary over stale blood|wax smoke in dead air|dusty velvet and extinguished lamps|rainwater leaking through saint stone|bronze warmed by old hands|char and myrrh beneath the floorboards|old paper damp with crypt mist|cold stone rubbed smooth by processions|coppery ash caught in the throat|murmured prayers from another corridor|funeral flowers gone sweet with rot
reliquary,content,broken pews and ash bowls|collapsed shelves and scroll tubes|shrine fragments and cracked icons|rusted censers and devotional masks|bone heaps and robbed niches|sermon frescoes and soot marks|dripped candle mountains around a cold stand|stolen vestments bundled in a corner|cracked saint busts with missing eyes|choir books fused by wax|brass lamp trees bent out of shape|processional poles stacked against the wall|altar linen stuffed into a drain|coins pressed into mortar cracks|smashed glass from old reliquaries|names scratched into the back of a pew
reliquary,content,fresh wax dripped over older soot where someone recently waited in the dark|saint markers turned inward as if they hide a route meant for clergy eyes only|a donation chest dragged just far enough to reveal scrape marks and disturbed dust|a bellrope cut short above reach with frayed fibers still hanging|devotional candles burned down beside a lock no pilgrim should have needed|burial rosters stacked near a wall that sounds wrong when knuckled|clean footprints around a filthy shrine floor where no one prays by accident|relic wrappings tucked into a vent that moves suspiciously fresh air
reliquary,puzzle_tag,saint_mask_puzzle|bell_sequence|liturgy_wheel|votive_balance|ash_choir_order|candle_count_rite|vestry_lock_chant|confessional_sliders|stations_of_the_dead|funeral_procession_order|martyr_emblems|ciborium_cipher|choir_stall_sequence|saint_bones_matching|censer_chain_tension|icon_panel_rotation
reliquary,trap_name,Censer Lift|Murder Choir|Ash Sluice|Saint's Pendulum|Confessor's Drop|The Vestry Teeth|Bell Pull Kill-Frame|Pilgrim's Last Step|Wax Ladder|The Shuttered Censer|Icon Shard Gallery|Abbot's Descent
reliquary,trap_desc,A brass lift over a hidden drop punishes haste and pride with a long fall into iron ribs.|Hanging bells and counterweights conceal darts falling weights and scything blades.|A furnace drain can drown the room in hot ash if anyone wakes the old sluice.|The chamber rewards stillness; panic wakes the hidden pendulum and its chained blades.|A false confessional floor folds inward and feeds the unwary into a locked bone chute.|A pilgrim stair collapses in sections designed to separate the bold from the lucky.|One wrong bell rope drops the shutters and turns the gallery into a killing corridor.|A wax-slick service ladder gives way above a field of devotional spikes.|The icon wall hides spring-loaded knives and a second worse floor beneath.|A saint bier on rollers crushes anyone who trusts the center aisle.|A locked vestry gate opens only after the room has already chosen its sacrifice.|The trap is telegraphed by old bones fresh scorch marks and the absence of any easy corpse to loot.
reliquary,solo_hunt,waits where bells answer one another|follows the smell of hot wax and blood|tests every doorway before committing|appears only after a prayer is spoken wrong|returns to rooms where the dead were disturbed|circles processional routes like a patient sexton|comes for anyone carrying relic metal|keeps to upper galleries until prey is boxed in|remembers who fled it last time|strikes when the room falls quiet|uses the chapel acoustics like a hunter's snare|never crosses the same threshold the same way twice
caverns,atmosphere,wet stone and cold mineral water|rotting reeds and cave musk|echoes over unseen pools|slick limestone and old guano|fungus spores drifting in torchlight|brine damp rope and stale fish|cold drops striking the same pool for ages|air that smells of eel skin and wet leather|mud breathing under a bootstep|a faint salt breeze from the wrong direction|luminous fungus giving just enough light to regret it|stagnant backwater and broken shell|waterfall thunder somewhere deeper in|silt rising with every careful step|mildewed rope and old pitch|the mineral tang of flooded stone
caverns,content,slick ledges and hanging roots|fungus mats and gnawed shells|rope anchors and water-worn crates|dripping stalactites and old climbing spikes|black pools and dead lanterns|flood marks cut high into stone|broken skiffs wedged in a crack|fishbones and lampblack graffiti|collapsed rope bridges over dark water|smuggler marks carved into damp stone|eel sheds caught on a jag of rock|mushroom pens fenced with scrap wood|water barrels long since turned foul|old customs seals in the mud|a pulley frame for hauling wet cargo|chalk arrows leading somewhere no one should trust
caverns,content,a dry ledge ringed with old lamp stubs where scouts clearly watched the black water|cargo lashings tied above flood height with one knot style used all through the site|a half-sunk crate split open to show the route once mattered to profit|fresh scratches on damp stone where someone tested footholds in panic|shell piles swept off one narrow crossing as if to clear a fast retreat|a line of rotten float buoys disappearing toward a wall that should not matter|bait baskets hung well above the water where something below kept stealing them|a narrow crawl mouth marked with trade signs and one recent boot smear
caverns,puzzle_tag,sluice_puzzle|tide_wheel_alignment|stone_organ_sequence|floodgate_counterweights|pearl_socket_lock|echo_chamber_call|bridge_plank_order|underpool_breathing_holes|rope_tension_walk|shell_dial|current_charm_slots|torch_reflection_pool|counterflow_channel|mushroom_spore_pattern|ferryman_marks|deepwater_resonance
caverns,trap_name,Flood Teeth|Slipshaft|The Drowned Bell|Silt Lung|Eel Ladder|The Black Rope|Fisher's Fall|The Wet Knife Shelf|Undertow Door|Cistern Maw|The Siphon Room|Low-Water Guillotine
caverns,trap_desc,A narrow basin becomes a drowning torrent when the wrong spill-gate is touched.|A harmless ledge gives way to a polished drop lined with stone teeth.|A bell clapper wakes crushing water from sealed cisterns above the room.|A tight chamber collapses into choking silt and black water when hurried.|A ropeway cuts loose over deep water full of sharpened stakes and worse things below.|A low shelf sweeps clean under a sudden cross-current that no one can fight standing up.|A false ferry plank flips intruders into a sink pocket with no easy footing.|One dry doorway opens only after the chamber floods waist-high and starts pulling harder.|A bait cache hides a suction channel strong enough to pin and drown the greedy.|The old pump room still works; it just pumps death faster than escape.|The trap advertises itself with water stains old bones and one route that looks too dry to be true.|A ladder rung releases a sluice and a buried blade gate in the same fatal beat.
caverns,solo_hunt,waits beneath rope crossings|follows the brightest light in total dark|slides through cracks too small to matter until it matters|owns one warm pool and kills for anything near it|learns where delvers stop to breathe|drags prey sideways rather than down|circles from water to ledge and back again|uses echoes to make distance meaningless|returns when the wounded try to rest|hunts by ripples and dropped gear|lurks where the cave pinches movement into one choice|tests groups by striking the rearmost lantern
dwarven,atmosphere,old soot caught in worked stone|iron dust and stale steam|machine oil over cold granite|metallic echoes through precise halls|slag grit under every bootstep|sealed air and ancient forge smoke|distant ticks from dead machinery|warm metal and cold drafts fighting each other|coal dust caught in the corners of every room|old water in cut stone channels|grease and ledger mould|hammer-rings carried from nowhere visible|spent heat lingering in the pipes|stone corridors built for voices of command|rust under every hinge and latch|air too still for a place built on engines
dwarven,content,fallen braces and stonecut marks|locked tool chests and chain runs|cracked runestones and slag heaps|ore carts and jammed gears|boiler valves and hanging hooks|survey markers hammered into the floor|tally boards with sums scratched half away|broken helmets lined on a shelf|wage tallies stamped into copper strips|lift chains coiled like sleeping serpents|stone doors counterweighted by great blocks|abandoned lamps with numbered tags|slag buckets welded to the floor by age|brick furnaces choked with cold ash|brass speaking tubes punched through walls|tool shadows on a pegboard with nothing left hanging there
dwarven,content,a maintenance crawl marked in grease pencil that no looter would have bothered to leave|safety rails ending abruptly where the real danger plainly begins|an authority stamp on a side hatch no common worker was meant to use|tool check tags gathered beside one door as if crews vanished mid-shift|load marks on the floor proving the obvious route handled less traffic than the hidden one|a brake lever chained off with formal warnings and fresh pry scars|spent wedges and cribbing stacked near a wall that likely opens under the right order|a salvage cart abandoned half-packed beside a route someone meant to come back through
dwarven,puzzle_tag,weight_rite|counterweight_matrix|rune_lock_sequence|gear_train_alignment|sluice_valve_logic|forge_draft_pattern|mint_die_order|elevator_brake_release|ore_grade_slots|pressure_plinth_steps|chain_tension_gate|survey_marker_cipher|anvil_strike_sequence|boiler_feed_balance|ledger_key_index|bellows_cycle
dwarven,trap_name,Stamp Mill|Counterweight Well|Anvil Drop|Boiler Maw|Foreman's Reprisal|Mint Press|Sluice Hammer|The Gear Teeth Room|The Falling Cage|Foundry Floor|The Rivet Hall|The Last Brake
dwarven,trap_desc,A dead mill line still wakes to pound anything standing on the wrong plates.|A false service shaft yanks the careless into moving stone and iron teeth.|The chamber rewards greed with a descending block the size of a wagon.|A split steam line can cook a whole room if the wrong valve is touched.|The lock yields only after the floor sections have chosen who stays behind.|A minting press still slams shut with perfect dwarven timing.|The maintenance cage falls faster than any scream can help.|A furnace catwalk flips inward and drops intruders through live chains.|The boiler door opens on a flash of pressure and shrapnel metal.|The room's brake release locks the exits before the crushing sequence begins.|Iron hammers swing from concealed recesses once the chain line is disturbed.|The trap shows its age honestly; surviving it is the dishonest part.
dwarven,solo_hunt,keeps the same patrol no matter who dies on it|moves only after hearing metal on metal|chooses choke points like a patient foreman|returns to warm ducts and fresh torch smoke|hunts anyone carrying masterwork salvage|waits by lifts for prey to choose a cage|tests doors with slow deliberate force|learns the fastest escape route better than the delvers do|comes when valves scream or chains slip|never hurries because the halls hurry for it|uses the architecture the way a mason uses a plumb line|breaks the weak point in a group's formation and presses there
demonic,atmosphere,clotted incense and cold iron|old blood rubbed into stone|wax smoke and grave dust|murmured prayers from rooms that should be empty|brass heat around black altars|sweet rot behind sealed doors|grease smoke and wet ash|the smell of tallow and opened graves|singed cloth and old devotion|blood gone brown in carved channels|quiet after chanting that should not stop|copper bowls warm for no good reason|stale breath in rooms built for kneeling|salt and ash thrown across thresholds|burned offerings under the stink of fear|cold stone and fresh candlelight
demonic,content,bone altars and votive gutters|broken coffins and wax drippings|chains censers and butcher hooks|shuttered confessionals and cracked icons|skull piles and soot-black walls|ritual knives laid out too neatly|prayer strips tied to iron nails|chalk sigils blurred by old feet|tallow barrels stamped with false saints|blood catch basins under the floor grates|rows of kneelers facing nothing good|a confession screen hacked apart from the inside|funeral masks stacked like bowls|rope collars and red-thread charms|clay bowls full of black salt|bells wrapped in cloth to mute them
demonic,content,a velvet rope line guiding bodies to exactly the wrong patch of floor|prayer cards amended by hand to hide practical instructions under doctrine|a side altar kept cleaner than the grand one for reasons no sermon explains|fresh tallow handprints on a wall that should be dry stone|a penitent stool placed where anyone obedient would become a target|ceremonial knives left blunt while one work blade is honed to use|scraped drag marks beneath incense ash leading to a panel disguised as piety|offering silver placed as bait where fear and greed would argue
demonic,puzzle_tag,vow_gate|bone_dial|mirror_of_sin|blood_weight_scale|litany_sequence|black_candle_count|funeral_mask_order|confessional_slides|altar_chain_lock|sigil_knife_slots|heretic_names_cipher|ash_cross_pattern|red_thread_maze|sacrament_basin_mix|bell_of_false_absolution|penitent_steps
demonic,trap_name,Choir of Knives|Blood Tithe Bridge|Coffin Press|The Red Swing|Confessional Maw|Ash-Tallow Drop|The Butcher's Nave|Penitent's Ladder|The Last Sacrament|The Hook Choir|The Bone Weir|Mercy Gate
demonic,trap_desc,A false litany wakes descending blades from every arch.|The bridge demands weight and then takes far more than offered.|Stone biers slide inward and pulp anyone who trusts the center aisle.|A pendulum idol punishes hesitation and panic alike.|The confessional floor drinks the kneeling and returns only blood.|A tallow chute ignites into a rolling wall of blind heat.|The nave locks tight and lowers the hooks one rank at a time.|A rope ladder peels away over a sacrificial pit lined with iron saints.|The altar reward is real; the walls that close in after are more real.|The chamber wants a victim and has been engineered to keep asking until paid.|A basin fills first with red water and then with knives hidden beneath it.|Every warning is present if someone bothers to read the dead correctly.
demonic,solo_hunt,comes when candles gutter all at once|waits among kneelers and false saints|learns the smell of anyone who bleeds in the shrine|circles confessionals before it strikes|follows the sound of muttered prayer|uses chains and drapery to break sight lines|returns to the room where the rite was interrupted|attacks the bearer of the brightest flame first|vanishes into side chapels and returns behind the group|tests the faithful before killing the faithless|knows which doors are sealed and why|lets terror build before it closes the distance
rooted,atmosphere,wet roots and old brick dust|spore rot under cold earth|green damp and bruised leaves|animal musk in cramped tunnels|soil falling softly from the ceiling|stale shrine air under living growth|rainwater sweating through cellar stone|the sweet-sour smell of mulch and blood|fungus breath in dead still rooms|old mortar cracked by patient roots|earthworms and cold draft|wet bark rubbed against worked stone|rotted herbs and cellar damp|dusty icons wearing green fur|old loam disturbed by many small feet|moss drinking from broken brick
rooted,content,root curtains and cracked masonry|fungus shelves and burrow spoil|collapsed statuary wrapped in vine|rat bones and gnawed relics|old drains now choked with roots|shrines swallowed by damp earth|burrow doors patched with scavenged planks|heaps of mushrooms sorted by danger|thorn nests woven into saint niches|cellar jars burst by growing roots|worm-cast mounds under old floor tiles|garden tools repurposed into weapons|half-buried coins in the mud|bone wind chimes made from scavenged dead|rope ladders tied to tree roots underground|charms hung from nettle twine
rooted,content,a patch of dry loam hidden under leaves where something still sleeps or watches|carefully cut roots showing someone maintains a route through the wild growth|mushroom clusters sorted into edible poison and ritual piles by patient hands|a cellar hatch half-swallowed by roots but kept clear at the handle|seed shells scattered before a wall of living growth that acts more like a door than a plant|small bone totems warning one route away from the burrows and toward something worse|a feeding pit disguised as common mulch with too many insect husks at the rim|bootscrapes on damp brick where intruders tried to climb out of the wrong patch of floor
rooted,puzzle_tag,root_lattice|seed_wheel|moon_well_balance|burrow_gate_sequence|spore_pattern|watercourse_redirect|hollow_idol_turns|thorn_charm_slots|fungus_shelf_order|grave_drain_switches|worm_tunnel_markings|grafting_cuts|loam_weight_scale|greenhouse_shutters|sap_flow_channels|buried_saint_faces
rooted,trap_name,Root Snare Pit|Spore Lung|The Green Drop|Briar Press|Worm Basket|The Burrow Teeth|Rot Door|Nettle Choke|The Hungry Floor|Sap Pit|The Cellar Snare|The Thorn Gate
rooted,trap_desc,A quiet floor of loam hides tightening roots and a sharpened drop.|A closed chamber floods with burning yellow spores if the wrong pod is cut.|A rotten bridge over a nursery pit only looks strong at first glance.|Thorn walls fold inward when fresh blood touches the stones.|A burrow tunnel collapses just far enough to trap rather than kill quickly.|The room seals and feeds air through spores until panic does the rest.|A root mat gives way into a pit seeded with hooked branches and vermin.|The trap advertises safety with dry footing and rewards trust with strangling growth.|A cellar stair breaks into a slick chute ending in a mulch pit.|One cut vine releases the snare; the second one makes it irreversible.|The walls are alive enough to notice panic and built enough to exploit it.|The briar gate opens on a room that has already chosen where you will die.
